simulation_id,type,top_n,stop_loss,max_position,target_vol,annual_return,sharpe,max_drawdown,win_rate,total_return
157,original,10,0.155167469907888,0.11150072266991697,0.20822548893097828,0.679074604047911,0.25091167251595115,-0.08652414369523508,0.7066666666666667,30.79588296613607
158,antithetic,50,0.194832530092112,0.08849927733008305,0.24177451106902173,0.5180494037000211,0.2566160925347375,-0.0789493202673149,0.68,14.737932040118517
159,original,34,0.19484587458903693,0.14900538501042632,0.24649323276635296,0.8380457468170539,0.23523453537073435,-0.05957768024010159,0.6533333333333333,55.14565444660985
160,antithetic,26,0.15515412541096305,0.050994614989573694,0.20350676723364705,0.4052985185869296,0.3303707338279868,-0.05955955056622236,0.7066666666666667,9.141946763997833
161,original,16,0.1950294566141342,0.0640084015236524,0.21873793357372748,0.4160219957631555,0.27644348209237446,-0.08658451183180207,0.68,9.03856434910417
162,antithetic,44,0.15497054338586577,0.13599159847634762,0.23126206642627253,0.7624960143959083,0.24874867073978452,-0.10001165998809529,0.6933333333333334,43.71688857642023
163,original,18,0.18036620261121378,0.10183296523637367,0.23184251839739023,0.6130487957461417,0.25230689088686226,-0.08810024257604501,0.6933333333333334,22.92003292720615
164,antithetic,42,0.1696337973887862,0.09816703476362634,0.21815748160260978,0.5801045379562701,0.2644699855360539,-0.08483960113180511,0.7066666666666667,20.4999271291379
165,original,33,0.11354346550816125,0.13773730719279553,0.2912197213164788,0.8113405867520489,0.2639878897818756,-0.097295019932412,0.7866666666666666,58.65666581086554
166,antithetic,27,0.23645653449183873,0.06226269280720448,0.15878027868352124,0.37091080783123387,0.2603463364483929,-0.07235503529869015,0.64,6.812382157769924
167,original,10,0.2252953743383857,0.12407686177542045,0.20791539567011613,0.6224421167405128,0.22943371728983947,-0.0968624401140187,0.6666666666666666,21.566810722946535
168,antithetic,50,0.12470462566161428,0.07592313822457956,0.24208460432988388,0.5308472917632019,0.3093994063132534,-0.06358166023795872,0.8133333333333334,17.847013507585693
169,original,17,0.1481170097457604,0.1197015740995268,0.29417858457358714,0.7019174791035956,0.25890721010020623,-0.08841136696141669,0.7066666666666667,35.31536431728278
170,antithetic,43,0.20188299025423959,0.08029842590047322,0.15582141542641287,0.46723464897226735,0.25316262343582785,-0.068558378924028,0.6666666666666666,11.314062739588056
171,original,33,0.12797777655997813,0.12024840839871093,0.28580259629340954,0.7241390373510136,0.2666680221430073,-0.0875530007065037,0.7733333333333333,40.46782419802939
172,antithetic,27,0.22202222344002184,0.07975159160128908,0.16419740370659047,0.4473135372608188,0.24160791567033757,-0.06855837892402794,0.64,9.887321486416067
173,original,20,0.1061162712332146,0.08594911512197552,0.17936867021839445,0.5971268000923535,0.2972794921664863,-0.06456621950957518,0.8266666666666667,24.498015256907877
174,antithetic,40,0.24388372876678538,0.11405088487802449,0.27063132978160553,0.6209062505001458,0.22842835283266041,-0.09701902199011012,0.6666666666666666,21.275905362572004
175,original,26,0.18863394147823628,0.07935918442644933,0.16040419513127482,0.47948820463450303,0.2593976743855225,-0.06855837892402793,0.6666666666666666,12.244112946097639
