ts_code,error
601298.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601318.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601319.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601328.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601336.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601360.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601377.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601390.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601398.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601456.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601600.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601601.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601607.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601618.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601628.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601633.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601658.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601668.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601669.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601688.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601689.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601698.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601728.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601766.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601788.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601800.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601808.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601816.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601818.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601825.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601838.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601857.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601868.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601872.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601877.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601878.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601881.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601888.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601898.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601899.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601901.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601916.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601919.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601939.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601985.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601988.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601995.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601998.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
603195.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
603260.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
603288.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
603296.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
603369.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
603392.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
603501.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
603799.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
603893.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
603986.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
603993.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
605117.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
605499.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688008.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688009.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688012.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688041.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688047.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688082.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688111.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688126.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688169.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688187.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688223.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688256.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688271.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688303.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688396.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688472.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688506.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688981.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000019.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000028.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000035.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000048.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000049.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000058.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000059.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000061.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000065.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
